"pub_id","doi","pub_year","replicated_study","replication_source","journal_title","replicated_binary","subfield","experiment","school_prestige_1st","school_prestige_senior","media_attention"
1016497126,"10.1037/h0033373",1972,"0","SP Special Issue","Journal of Personality and Social Psychology","no","social","no",NA,NA,2
1050459762,"10.1037/0022-3514.70.6.1142",1996,"1","SP Special Issue","Journal of Personality and Social Psychology","yes","social","yes",1,1,0
1050459762,"10.1037/0022-3514.70.6.1142",1996,"2","SP Special Issue","Journal of Personality and Social Psychology","yes","social","yes",1,1,0
NA,NA,NA,"1","SP Special Issue",NA,"yes","social","yes",NA,NA,NA
1024494517,"10.1111/j.1467-9280.1996.tb00346.x",1996,"2","SP Special Issue","Psychological Science","no","social","yes",1,1,1
1050894990,"10.1111/j.1467-9280.2009.02326.x",2009,"1","SP Special Issue","Psychological Science","no","social","yes",1,1,1
1050894990,"10.1111/j.1467-9280.2009.02326.x",2009,"3","SP Special Issue","Psychological Science","no","social","yes",1,1,1
1042784101,"10.1177/0956797610372631",2010,"1","SP Special Issue","Psychological Science","no","social","yes",6,6,29
1015805241,"10.1177/0956797611432497",2012,"1","SP Special Issue","Psychological Science","no","social","no",NA,3,1
1015805241,"10.1177/0956797611432497",2012,"2","SP Special Issue","Psychological Science","no","social","yes",NA,3,1
1016880295,"10.1126/science.1162548",2008,"2","SP Special Issue","Science","no","personality","yes",3,1,43
1110046308,"10.1177/002224298204600109",1982,"1","SP Special Issue","Journal of Marketing","no","organizational","yes",1,1,0
1042885320,"10.1016/0010-0285(90)90003-m",1990,"1, 4","RRR","Cognitive Psychology","yes","cognitive","yes",2,2,3
1044935752,"10.1037/0022-3514.82.6.956",2002,"1","RRR","Journal of Personality and Social Psychology","no","social","yes",NA,1,0
1013187570,"10.1037/0022-3514.54.5.768",1988,"1","RRR","Journal of Personality and Social Psychology","no","social","yes",6,6,60
1022946029,"10.1038/nature11467",2012,"7","RRR","Nature","no","social","no",1,1,15
